# Date	2015-11-28-18:30
# Type	Delay Scan
# Ov	98 mV
# IR	-98 mV
# Bot	-40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.6 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
0	79800	0.206321	0.00559459	0.054562	-0.0131591	
1	79600	0.252688	0.00559459	0.0664659	-0.0131591	
2	79400	0.223256	0.00559459	0.0693597	-0.0131591	
3	79200	0.231839	0.00559459	0.0549566	-0.0131591	
4	79000	0.22204	0.00559459	0.0526876	-0.0131591	
5	78800	0.217502	0.00559459	0.052852	-0.0131591	
6	78600	0.229998	0.00559459	0.0596919	-0.0131591	
7	78400	0.239402	0.00559459	0.0623555	-0.0131591	
8	78200	0.237331	0.00559459	0.0516353	-0.0131591	
9	78000	0.231116	0.00559459	0.0625528	-0.0131591	
10	77800	0.254957	0.00559459	0.0602509	-0.0131591	
11	77600	0.236278	0.00559459	0.0673867	-0.0131591	
12	77400	0.249005	0.00559459	0.0676169	-0.0131591	
13	77200	0.238778	0.00559459	0.0603824	-0.0131591	
14	77000	0.235358	0.00559459	0.0515695	-0.0131591	
15	76800	0.24131	0.00559459	0.0644929	-0.0131591	
16	76600	0.229439	0.00559459	0.0626514	-0.0131591	
17	76400	0.232069	0.00559459	0.0550881	-0.0131591	
18	76200	0.23151	0.00559459	0.0592315	-0.0131591	
19	76000	0.24279	0.00559459	0.0608099	-0.0131591	
20	75800	0.221842	0.00559459	0.0664002	-0.0131591	
21	75600	0.244138	0.00559459	0.0617964	-0.0131591	
22	75400	0.235391	0.00559459	0.0584094	-0.0131591	
23	75200	0.2323	0.00559459	0.0574886	-0.0131591	
24	75000	0.252852	0.00559459	0.0573242	-0.0131591	
25	74800	0.230721	0.00559459	0.0593959	-0.0131591	
26	74600	0.234799	0.00559459	0.0626185	-0.0131591	
27	74400	0.216055	0.00559459	0.054825	-0.0131591	
28	74200	0.223158	0.00559459	0.0516682	-0.0131591	
29	74000	0.225229	0.00559459	0.0563377	-0.0131591	
30	73800	0.237298	0.00559459	0.0484785	-0.0131591	
31	73600	0.223815	0.00559459	0.058245	-0.0131591	
32	73400	0.252457	0.00559459	0.0544304	-0.0131591	
33	73200	0.242559	0.00559459	0.0560418	-0.0131591	
34	73000	0.224407	0.00559459	0.0521615	-0.0131591	
35	72800	0.236805	0.00559459	0.0563706	-0.0131591	
