# Date	2015-11-28-17:25
# Type	Delay Scan
# Bot	-200 mV
# Ov	0 mV
# IR	0 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15933.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
0	200	0.227498	0.00331245	0.037002	-0.0162436	
1	400	0.213786	0.00331245	0.0359168	-0.0162436	
2	600	0.224243	0.00331245	0.0385146	-0.0162436	
3	800	0.21201	0.00331245	0.046341	-0.0162436	
4	1000	0.230063	0.00331245	0.0390408	-0.0162436	
5	1200	0.228518	0.00331245	0.0389421	-0.0162436	
6	1400	0.238416	0.00331245	0.0330888	-0.0162436	
7	1600	0.214049	0.00331245	0.0415728	-0.0162436	
8	1800	0.228156	0.00331245	0.0437761	-0.0162436	
9	2000	0.231149	0.00331245	0.0376268	-0.0162436	
10	2200	0.217337	0.00331245	0.040389	-0.0162436	
11	2400	0.216384	0.00331245	0.0417373	-0.0162436	
12	2600	0.234207	0.00331245	0.0426909	-0.0162436	
13	2800	0.227071	0.00331245	0.0482154	-0.0162436	
14	3000	0.227071	0.00331245	0.0421976	-0.0162436	
15	3200	0.217699	0.00331245	0.0400602	-0.0162436	
16	3400	0.231445	0.00331245	0.0382516	-0.0162436	
17	3600	0.224407	0.00331245	0.0323982	-0.0162436	
18	3800	0.230557	0.00331245	0.0420332	-0.0162436	
19	4000	0.216581	0.00331245	0.0437432	-0.0162436	
20	4200	0.232793	0.00331245	0.0417701	-0.0162436	
21	4400	0.218949	0.00331245	0.0539372	-0.0162436	
22	4600	0.226019	0.00331245	0.0441049	-0.0162436	
23	4800	0.238284	0.00331245	0.037561	-0.0162436	
24	5000	0.222106	0.00331245	0.0451243	-0.0162436	
25	5200	0.234766	0.00331245	0.0366731	-0.0162436	
26	5400	0.234108	0.00331245	0.0410796	-0.0162436	
27	5600	0.220659	0.00331245	0.0478537	-0.0162436	
28	5800	0.234799	0.00331245	0.0447297	-0.0162436	
29	6000	0.219113	0.00331245	0.0476235	-0.0162436	
30	6200	0.228485	0.00331245	0.0466698	-0.0162436	
31	6400	0.22444	0.00331245	0.0452887	-0.0162436	
32	6600	0.230096	0.00331245	0.0517011	-0.0162436	
33	6800	0.22763	0.00331245	0.0453545	-0.0162436	
34	7000	0.226972	0.00331245	0.0498267	-0.0162436	
35	7200	0.23345	0.00331245	0.045782	-0.0162436	
36	7400	0.225131	0.00331245	0.0490375	-0.0162436	
37	7600	0.230886	0.00331245	0.0619609	-0.0162436	
38	7800	0.210004	0.00331245	0.0370678	-0.0162436	
39	8000	0.221579	0.00331245	0.0455518	-0.0162436	
40	8200	0.245782	0.00331245	0.0569625	-0.0162436	
