# Date	2015-11-30-02:00
# Type	Delay Scan
# Ov	98 mV
# IR	-98 mV
# Bot	40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
0	200	0.288038	0.00696256	0.0840259	-0.0142015	
1	400	0.268998	0.00696256	0.0929375	-0.0142015	
2	600	0.288038	0.00696256	0.0816912	-0.0142015	
3	800	0.281691	0.00696256	0.0830723	-0.0142015	
4	1000	0.290767	0.00696256	0.0882351	-0.0142015	
5	1200	0.268801	0.00696256	0.0805402	-0.0142015	
6	1400	0.291984	0.00696256	0.0753446	-0.0142015	
7	1600	0.27005	0.00696256	0.0808362	-0.0142015	
8	1800	0.283171	0.00696256	0.0876432	-0.0142015	
9	2000	0.283303	0.00696256	0.0858674	-0.0142015	
10	2200	0.290044	0.00696256	0.0849796	-0.0142015	
11	2400	0.272023	0.00696256	0.0865909	-0.0142015	
12	2600	0.271892	0.00696256	0.0806389	-0.0142015	
13	2800	0.284355	0.00696256	0.0764298	-0.0142015	
14	3000	0.272878	0.00696256	0.0666632	-0.0142015	
15	3200	0.269458	0.00696256	0.0771203	-0.0142015	
16	3400	0.28179	0.00696256	0.0784357	-0.0142015	
17	3600	0.274457	0.00696256	0.0812637	-0.0142015	
18	3800	0.262816	0.00696256	0.0920496	-0.0142015	
19	4000	0.269853	0.00696256	0.080902	-0.0142015	
20	4200	0.272122	0.00696256	0.0767586	-0.0142015	
21	4400	0.259856	0.00696256	0.0792907	-0.0142015	
22	4600	0.276989	0.00696256	0.0823817	-0.0142015	
23	4800	0.261994	0.00696256	0.0782713	-0.0142015	
24	5000	0.28008	0.00696256	0.085144	-0.0142015	
25	5200	0.263539	0.00696256	0.0833025	-0.0142015	
26	5400	0.28225	0.00696256	0.0871828	-0.0142015	
27	5600	0.280803	0.00696256	0.0762653	-0.0142015	
28	5800	0.281527	0.00696256	0.087117	-0.0142015	
29	6000	0.279817	0.00696256	0.0765613	-0.0142015	
30	6200	0.273174	0.00696256	0.0758379	-0.0142015	
31	6400	0.286821	0.00696256	0.0960943	-0.0142015	
32	6600	0.289978	0.00696256	0.080606	-0.0142015	
33	6800	0.278995	0.00696256	0.0817241	-0.0142015	
34	7000	0.286032	0.00696256	0.0754761	-0.0142015	
35	7200	0.270017	0.00696256	0.0810006	-0.0142015	
36	7400	0.251668	0.00696256	0.0822173	-0.0142015	
37	7600	0.286755	0.00696256	0.0907671	-0.0142015	
38	7800	0.285473	0.00696256	0.0903396	-0.0142015	
39	8000	0.264197	0.00696256	0.0787316	-0.0142015	
40	8200	0.256173	0.00696256	0.0800141	-0.0142015	
41	8400	0.291425	0.00696256	0.0868211	-0.0142015	
42	8600	0.269261	0.00696256	0.0825791	-0.0142015	
43	8800	0.276857	0.00696256	0.0846836	-0.0142015	
44	9000	0.268768	0.00696256	0.0890901	-0.0142015	
45	9200	0.259856	0.00696256	0.0834998	-0.0142015	
46	9400	0.266269	0.00696256	0.0764955	-0.0142015	
47	9600	0.258508	0.00696256	0.0823817	-0.0142015	
48	9800	0.265775	0.00696256	0.0773834	-0.0142015	
49	10000	0.280211	0.00696256	0.0811322	-0.0142015	
50	10200	0.286032	0.00696256	0.0828092	-0.0142015	
51	10400	0.281428	0.00696256	0.0817898	-0.0142015	
52	10600	0.282185	0.00696256	0.0824146	-0.0142015	
53	10800	0.295667	0.00696256	0.0765942	-0.0142015	
54	11000	0.275706	0.00696256	0.0838286	-0.0142015	
55	11200	0.285769	0.00696256	0.0839273	-0.0142015	
56	11400	0.278041	0.00696256	0.0961601	-0.0142015	
57	11600	0.270708	0.00696256	0.0864922	-0.0142015	
