# Date	2015-11-30-02:55
# Type	Delay Scan
# Ov	100 mV
# IR	-100 mV
# Bot	-40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
0	79800	0.285506	0.00552554	0.106288	-0.0137411	
1	79600	0.274983	0.00552554	0.0954038	-0.0137411	
2	79400	0.277252	0.00552554	0.0921154	-0.0137411	
3	79200	0.260317	0.00552554	0.0941542	-0.0137411	
4	79000	0.256831	0.00552554	0.100303	-0.0137411	
5	78800	0.260021	0.00552554	0.100567	-0.0137411	
6	78600	0.242888	0.00552554	0.0963245	-0.0137411	
7	78400	0.262191	0.00552554	0.0925758	-0.0137411	
8	78200	0.25545	0.00552554	0.0770874	-0.0137411	
9	78000	0.273964	0.00552554	0.0933321	-0.0137411	
10	77800	0.269557	0.00552554	0.0902081	-0.0137411	
11	77600	0.277383	0.00552554	0.0932005	-0.0137411	
12	77400	0.267091	0.00552554	0.0904054	-0.0137411	
13	77200	0.268932	0.00552554	0.0951078	-0.0137411	
14	77000	0.28304	0.00552554	0.0952393	-0.0137411	
15	76800	0.274227	0.00552554	0.0918852	-0.0137411	
16	76600	0.27449	0.00552554	0.0977056	-0.0137411	
17	76400	0.273832	0.00552554	0.085999	-0.0137411	
18	76200	0.25762	0.00552554	0.0805074	-0.0137411	
19	76000	0.26936	0.00552554	0.0780411	-0.0137411	
20	75800	0.269195	0.00552554	0.0908	-0.0137411	
21	75600	0.267748	0.00552554	0.0909316	-0.0137411	
22	75400	0.269886	0.00552554	0.0858674	-0.0137411	
23	75200	0.283434	0.00552554	0.0833354	-0.0137411	
24	75000	0.284815	0.00552554	0.0983304	-0.0137411	
25	74800	0.275641	0.00552554	0.0876761	-0.0137411	
26	74600	0.283829	0.00552554	0.0830723	-0.0137411	
27	74400	0.279488	0.00552554	0.106025	-0.0137411	
28	74200	0.276101	0.00552554	0.0942199	-0.0137411	
29	74000	0.255187	0.00552554	0.0949434	-0.0137411	
30	73800	0.287643	0.00552554	0.0954367	-0.0137411	
31	73600	0.27518	0.00552554	0.0957984	-0.0137411	
32	73400	0.276594	0.00552554	0.0969822	-0.0137411	
33	73200	0.27176	0.00552554	0.0863278	-0.0137411	
34	73000	0.280803	0.00552554	0.0928717	-0.0137411	
35	72800	0.286163	0.00552554	0.0912604	-0.0137411	
36	72600	0.271168	0.00552554	0.0992512	-0.0137411	
37	72400	0.269886	0.00552554	0.0850782	-0.0137411	
