# Filename	2016-09-28\15_delay.txt
# Date	2016-09-28
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365824.8 GHz
# DL-100	365808.9 GHz
# Static	400 mV Pulsed
# MWOn	On
# MWf	15931.6 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.445 V ; IR: +0.055 V ; Oven: -0.055 V ; Vis: -0.010 V ; MW: +0.010 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.303855	-0.0238167	0.113753	-0.047309
1	744	0.270971	-0.0238167	0.113786	-0.047309
2	1488	0.285703	-0.0238167	0.11418	-0.047309
3	2232	0.292839	-0.0238167	0.107374	-0.047309
4	2976	0.228978	-0.0238167	0.106288	-0.047309
5	3720	0.293595	-0.0238167	0.108919	-0.047309
6	4464	0.28738	-0.0238167	0.113095	-0.047309
7	5208	0.271333	-0.0238167	0.100402	-0.047309
8	5952	0.266992	-0.0238167	0.11201	-0.047309
9	6696	0.243118	-0.0238167	0.0971137	-0.047309
10	7440	0.287808	-0.0238167	0.111385	-0.047309
11	8184	0.256469	-0.0238167	0.102408	-0.047309
12	8928	0.240882	-0.0238167	0.102967	-0.047309
13	9672	0.246144	-0.0238167	0.124046	-0.047309
14	10416	0.290767	-0.0238167	0.110004	-0.047309
15	11160	0.259889	-0.0238167	0.10425	-0.047309
16	11904	0.264592	-0.0238167	0.0887612	-0.047309
17	12648	0.244335	-0.0238167	0.095897	-0.047309
18	13392	0.262224	-0.0238167	0.0924771	-0.047309
19	14136	0.255088	-0.0238167	0.0966534	-0.047309
20	14880	0.241441	-0.0238167	0.0901095	-0.047309
21	15624	0.277614	-0.0238167	0.110497	-0.047309
22	16368	0.281823	-0.0238167	0.112109	-0.047309
23	17112	0.247163	-0.0238167	0.103789	-0.047309
24	17856	0.241507	-0.0238167	0.0948776	-0.047309
25	18600	0.2469	-0.0238167	0.0775807	-0.047309
26	19344	0.248478	-0.0238167	0.0977056	-0.047309
27	20088	0.285111	-0.0238167	0.0852755	-0.047309
28	20832	0.232793	-0.0238167	0.0948776	-0.047309
29	21576	0.262684	-0.0238167	0.108261	-0.047309
30	22320	0.264756	-0.0238167	0.113687	-0.047309
31	23064	0.254661	-0.0238167	0.0905041	-0.047309
32	23808	0.230327	-0.0238167	0.0985935	-0.047309
33	24552	0.255614	-0.0238167	0.093069	-0.047309
34	25296	0.248577	-0.0238167	0.0887941	-0.047309
35	26040	0.271168	-0.0238167	0.107538	-0.047309
36	26784	0.28544	-0.0238167	0.10882	-0.047309
37	27528	0.268044	-0.0238167	0.106683	-0.047309
38	28272	0.266729	-0.0238167	0.103921	-0.047309
39	29016	0.263934	-0.0238167	0.108886	-0.047309
40	29760	0.268636	-0.0238167	0.115101	-0.047309
41	30504	0.276364	-0.0238167	0.112043	-0.047309
42	31248	0.254365	-0.0238167	0.0965547	-0.047309
43	31992	0.263046	-0.0238167	0.088268	-0.047309
44	32736	0.256667	-0.0238167	0.106124	-0.047309
45	33480	0.267387	-0.0238167	0.0966205	-0.047309
46	34224	0.246242	-0.0238167	0.103362	-0.047309
47	34968	0.246341	-0.0238167	0.111648	-0.047309
48	35712	0.255581	-0.0238167	0.108097	-0.047309
49	36456	0.243053	-0.0238167	0.0911617	-0.047309
50	37200	0.287446	-0.0238167	0.0946803	-0.047309
51	37944	0.256732	-0.0238167	0.0865251	-0.047309
52	38688	0.224276	-0.0238167	0.0961601	-0.047309
53	39432	0.264131	-0.0238167	0.114707	-0.047309
54	40176	0.248939	-0.0238167	0.101356	-0.047309
55	40920	0.258442	-0.0238167	0.102934	-0.047309
56	41664	0.237002	-0.0238167	0.0919181	-0.047309
57	42408	0.252227	-0.0238167	0.097311	-0.047309
58	43152	0.228386	-0.0238167	0.0970151	-0.047309
59	43896	0.24667	-0.0238167	0.098166	-0.047309
60	44640	0.267913	-0.0238167	0.103625	-0.047309
61	45384	0.268538	-0.0238167	0.108985	-0.047309
62	46128	0.255812	-0.0238167	0.106354	-0.047309
63	46872	0.287446	-0.0238167	0.10642	-0.047309
64	47616	0.265019	-0.0238167	0.0982318	-0.047309
65	48360	0.262619	-0.0238167	0.0994156	-0.047309
66	49104	0.250057	-0.0238167	0.0963574	-0.047309
67	49848	0.265118	-0.0238167	0.10346	-0.047309
68	50592	0.259199	-0.0238167	0.102178	-0.047309
69	51336	0.254167	-0.0238167	0.0892216	-0.047309
70	52080	0.265085	-0.0238167	0.103	-0.047309
71	52824	0.275016	-0.0238167	0.102605	-0.047309
72	53568	0.272023	-0.0238167	0.100632	-0.047309
73	54312	0.232826	-0.0238167	0.0784686	-0.047309
74	55056	0.253444	-0.0238167	0.0977714	-0.047309
75	55800	0.241178	-0.0238167	0.100435	-0.047309
76	56544	0.256305	-0.0238167	0.111024	-0.047309
77	57288	0.2762	-0.0238167	0.109149	-0.047309
78	58032	0.275575	-0.0238167	0.104052	-0.047309
79	58776	0.252852	-0.0238167	0.10813	-0.047309
80	59520	0.262158	-0.0238167	0.102309	-0.047309
81	60264	0.273931	-0.0238167	0.108788	-0.047309
82	61008	0.26936	-0.0238167	0.0884324	-0.047309
83	61752	0.277647	-0.0238167	0.116252	-0.047309
84	62496	0.262586	-0.0238167	0.109412	-0.047309
85	63240	0.254299	-0.0238167	0.101619	-0.047309
86	63984	0.279126	-0.0238167	0.101191	-0.047309
87	64728	0.264888	-0.0238167	0.089945	-0.047309
88	65472	0.25203	-0.0238167	0.102507	-0.047309
89	66216	0.253312	-0.0238167	0.10004	-0.047309
90	66960	0.266992	-0.0238167	0.10882	-0.047309
91	67704	0.257752	-0.0238167	0.103658	-0.047309
92	68448	0.272977	-0.0238167	0.102145	-0.047309
93	69192	0.251175	-0.0238167	0.117074	-0.047309
94	69936	0.276002	-0.0238167	0.101783	-0.047309
95	70680	0.266466	-0.0238167	0.0977056	-0.047309
96	71424	0.257226	-0.0238167	0.111747	-0.047309
97	72168	0.288761	-0.0238167	0.109018	-0.047309
98	72912	0.269919	-0.0238167	0.117469	-0.047309
99	73656	0.256469	-0.0238167	0.10517	-0.047309
100	74400	0.273569	-0.0238167	0.10448	-0.047309
101	75144	0.252425	-0.0238167	0.113457	-0.047309
102	75888	0.258344	-0.0238167	0.104545	-0.047309
103	76632	0.282612	-0.0238167	0.102079	-0.047309
104	77376	0.252655	-0.0238167	0.113293	-0.047309
105	78120	0.253049	-0.0238167	0.095634	-0.047309
106	78864	0.255713	-0.0238167	0.100731	-0.047309
107	79608	0.287446	-0.0238167	0.105894	-0.047309
108	80352	0.2713	-0.0238167	0.10448	-0.047309
109	81096	0.262947	-0.0238167	0.101323	-0.047309
110	81840	0.260317	-0.0238167	0.0974755	-0.047309
111	82584	0.250419	-0.0238167	0.0935952	-0.047309
112	83328	0.262651	-0.0238167	0.0998431	-0.047309
113	84072	0.251833	-0.0238167	0.0834669	-0.047309
114	84816	0.27689	-0.0238167	0.107637	-0.047309
115	85560	0.280672	-0.0238167	0.102079	-0.047309
116	86304	0.263704	-0.0238167	0.102342	-0.047309
117	87048	0.259297	-0.0238167	0.103362	-0.047309
118	87792	0.256963	-0.0238167	0.102638	-0.047309
119	88536	0.251602	-0.0238167	0.09251	-0.047309
120	89280	0.264822	-0.0238167	0.092214	-0.047309
121	90024	0.283335	-0.0238167	0.103756	-0.047309
122	90768	0.287676	-0.0238167	0.105861	-0.047309
123	91512	0.257817	-0.0238167	0.102836	-0.047309
124	92256	0.26058	-0.0238167	0.107867	-0.047309
125	93000	0.258344	-0.0238167	0.0961272	-0.047309
126	93744	0.244434	-0.0238167	0.104381	-0.047309
127	94488	0.262619	-0.0238167	0.0940555	-0.047309
128	95232	0.27689	-0.0238167	0.0956011	-0.047309
129	95976	0.263145	-0.0238167	0.0931348	-0.047309
130	96720	0.254726	-0.0238167	0.0988237	-0.047309
131	97464	0.258804	-0.0238167	0.0836313	-0.047309
132	98208	0.248643	-0.0238167	0.0940226	-0.047309
133	98952	0.253543	-0.0238167	0.0945159	-0.047309
134	99696	0.237462	-0.0238167	0.0997773	-0.047309
135	100440	0.235818	-0.0238167	0.0955682	-0.047309
