# Filename	5_delay.txt
# Date	2016-09-28
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365824.8 GHz
# DL-100	365808.9 GHz
# Static	-2000 mV Pulsed
# MWOn	On
# MWf	15931.6 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.440 V ; IR: +0.050 V ; Oven: -0.050 V ; Vis: -0.010 V ; MW: +0.010 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.274457	-0.0261811	0.0226646	-0.0510676
1	744	0.283335	-0.0261811	0.0232565	-0.0510676
2	1488	0.304579	-0.0261811	0.0240786	-0.0510676
3	2232	0.301323	-0.0261811	0.0218425	-0.0510676
4	2976	0.289912	-0.0261811	0.0184226	-0.0510676
5	3720	0.286854	-0.0261811	0.0155617	-0.0510676
6	4464	0.309215	-0.0261811	0.0264134	-0.0510676
7	5208	0.293464	-0.0261811	0.03105	-0.0510676
8	5952	0.281954	-0.0261811	0.0199681	-0.0510676
9	6696	0.279488	-0.0261811	0.0197708	-0.0510676
10	7440	0.277022	-0.0261811	0.0130296	-0.0510676
11	8184	0.279981	-0.0261811	0.0190474	-0.0510676
12	8928	0.293069	-0.0261811	0.0157919	-0.0510676
13	9672	0.285473	-0.0261811	0.0161207	-0.0510676
14	10416	0.299021	-0.0261811	0.0219412	-0.0510676
15	11160	0.268899	-0.0261811	0.0130954	-0.0510676
16	11904	0.280507	-0.0261811	0.00829436	-0.0510676
17	12648	0.278074	-0.0261811	0.02056	-0.0510676
18	13392	0.28567	-0.0261811	0.0147067	-0.0510676
19	14136	0.272188	-0.0261811	0.0222371	-0.0510676
20	14880	0.310037	-0.0261811	0.0246048	-0.0510676
