# Filename	2016-10-01\27_delay.txt
# Date	2016-10-01
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	36588.5 GHz
# DL-100	365872.6 GHz
# Static	-1500 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.480 V ; IR: +0.065 V ; Oven: -0.065 V ; Vis: -0.015 V ; MW: +0.015 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.229998	-0.0184468	-0.0335997	-0.0384435
1	744	0.215792	-0.0184468	-0.0363948	-0.0384435
2	1488	0.243447	-0.0184468	-0.0324817	-0.0384435
3	2232	0.208459	-0.0184468	-0.0357043	-0.0384435
4	2976	0.209018	-0.0184468	-0.0363948	-0.0384435
5	3720	0.187775	-0.0184468	-0.0324159	-0.0384435
6	4464	0.222599	-0.0184468	-0.0322515	-0.0384435
7	5208	0.214838	-0.0184468	-0.0313636	-0.0384435
8	5952	0.218718	-0.0184468	-0.0330736	-0.0384435
9	6696	0.206058	-0.0184468	-0.0306402	-0.0384435
10	7440	0.212536	-0.0184468	-0.025872	-0.0384435
11	8184	0.222204	-0.0184468	-0.0337641	-0.0384435
12	8928	0.201257	-0.0184468	-0.0361646	-0.0384435
13	9672	0.220264	-0.0184468	-0.0298509	-0.0384435
14	10416	0.188663	-0.0184468	-0.0318569	-0.0384435
15	11160	0.210234	-0.0184468	-0.0316924	-0.0384435
16	11904	0.203592	-0.0184468	-0.0333037	-0.0384435
17	12648	0.215101	-0.0184468	-0.0327447	-0.0384435
18	13392	0.199153	-0.0184468	-0.0333366	-0.0384435
19	14136	0.203033	-0.0184468	-0.0283054	-0.0384435
20	14880	0.201257	-0.0184468	-0.030673	-0.0384435
21	15624	0.180113	-0.0184468	-0.0319226	-0.0384435
22	16368	0.206091	-0.0184468	-0.03919	-0.0384435
23	17112	0.21474	-0.0184468	-0.028141	-0.0384435
24	17856	0.199547	-0.0184468	-0.0319884	-0.0384435
25	18600	0.210399	-0.0184468	-0.0279108	-0.0384435
26	19344	0.210563	-0.0184468	-0.0339614	-0.0384435
27	20088	0.21908	-0.0184468	-0.0379733	-0.0384435
28	20832	0.227137	-0.0184468	-0.0282067	-0.0384435
29	21576	0.210629	-0.0184468	-0.0324159	-0.0384435
30	22320	0.216088	-0.0184468	-0.0347178	-0.0384435
31	23064	0.203395	-0.0184468	-0.0325474	-0.0384435
32	23808	0.221218	-0.0184468	-0.0340601	-0.0384435
33	24552	0.216219	-0.0184468	-0.0243593	-0.0384435
34	25296	0.217041	-0.0184468	-0.0282396	-0.0384435
35	26040	0.206847	-0.0184468	-0.0340272	-0.0384435
36	26784	0.194582	-0.0184468	-0.0307059	-0.0384435
37	27528	0.22444	-0.0184468	-0.0264639	-0.0384435
38	28272	0.203691	-0.0184468	-0.0268914	-0.0384435
39	29016	0.204348	-0.0184468	-0.0313307	-0.0384435
40	29760	0.212043	-0.0184468	-0.0344218	-0.0384435
41	30504	0.211583	-0.0184468	-0.0344218	-0.0384435
42	31248	0.191885	-0.0184468	-0.0275491	-0.0384435
43	31992	0.140586	-0.0184468	-0.0328105	-0.0384435
44	32736	0.175147	-0.0184468	-0.0330736	-0.0384435
45	33480	0.172812	-0.0184468	-0.0298509	-0.0384435
46	34224	0.18179	-0.0184468	-0.0327447	-0.0384435
47	34968	0.204907	-0.0184468	-0.0341258	-0.0384435
48	35712	0.188991	-0.0184468	-0.0281739	-0.0384435
49	36456	0.16298	-0.0184468	-0.0362304	-0.0384435
50	37200	0.197508	-0.0184468	-0.0321528	-0.0384435
51	37944	0.13983	-0.0184468	-0.0324817	-0.0384435
52	38688	0.179389	-0.0184468	-0.038039	-0.0384435
53	39432	0.210136	-0.0184468	-0.0334024	-0.0384435
