# Filename	33_delay.txt
# Date	2016-10-01
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	36588.5 GHz
# DL-100	365872.6 GHz
# Static	3000 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.480 V ; IR: +0.065 V ; Oven: -0.065 V ; Vis: -0.015 V ; MW: +0.015 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.240915	-0.0178385	-0.0349479	-0.0374405
1	744	0.258015	-0.0178385	-0.0334353	-0.0374405
2	1488	0.237101	-0.0178385	-0.0356056	-0.0374405
3	2232	0.239567	-0.0178385	-0.0320542	-0.0374405
4	2976	0.231116	-0.0178385	-0.0318897	-0.0374405
5	3720	0.235621	-0.0178385	-0.0384336	-0.0374405
6	4464	0.234207	-0.0178385	-0.0373813	-0.0374405
7	5208	0.231214	-0.0178385	-0.0375458	-0.0374405
8	5952	0.236673	-0.0178385	-0.03748	-0.0374405
9	6696	0.225493	-0.0178385	-0.0369867	-0.0374405
10	7440	0.231543	-0.0178385	-0.0364606	-0.0374405
11	8184	0.242165	-0.0178385	-0.0368552	-0.0374405
12	8928	0.22398	-0.0178385	-0.0393873	-0.0374405
13	9672	0.21497	-0.0178385	-0.0349151	-0.0374405
14	10416	0.236114	-0.0178385	-0.0411301	-0.0374405
15	11160	0.238186	-0.0178385	-0.0375129	-0.0374405
16	11904	0.220724	-0.0178385	-0.0370854	-0.0374405
17	12648	0.224572	-0.0178385	-0.038335	-0.0374405
18	13392	0.225032	-0.0178385	-0.038894	-0.0374405
