# Filename	MetaTest\16_delay.txt
# Date	2016-09-22
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365872.6 GHz
# DL-100	365856.7 GHz
# Static	0 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	38 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.409 V ; IR: +0.052 V ; Oven: -0.052 V ; Vis: -0.011 V ; MW: +0.011 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.262224	-0.0195155	0.0536412	-0.042406
1	744	0.268044	-0.0195155	0.0520299	-0.042406
2	1488	0.273503	-0.0195155	0.0521615	-0.042406
3	2232	0.282875	-0.0195155	0.0550552	-0.042406
4	2976	0.280475	-0.0195155	0.063901	-0.042406
5	3720	0.28031	-0.0195155	0.0542331	-0.042406
6	4464	0.290274	-0.0195155	0.0549566	-0.042406
7	5208	0.29547	-0.0195155	0.0545291	-0.042406
8	5952	0.277581	-0.0195155	0.0562719	-0.042406
9	6696	0.272221	-0.0195155	0.0630789	-0.042406
10	7440	0.271892	-0.0195155	0.0511421	-0.042406
11	8184	0.293431	-0.0195155	0.0526547	-0.042406
12	8928	0.297147	-0.0195155	0.0521615	-0.042406
13	9672	0.2957	-0.0195155	0.056535	-0.042406
14	10416	0.276035	-0.0195155	0.0575544	-0.042406
15	11160	0.285539	-0.0195155	0.0563048	-0.042406
16	11904	0.294056	-0.0195155	0.0515367	-0.042406
17	12648	0.285078	-0.0195155	0.0531151	-0.042406
18	13392	0.271201	-0.0195155	0.0554498	-0.042406
19	14136	0.283599	-0.0195155	0.0546935	-0.042406
20	14880	0.296456	-0.0195155	0.0573571	-0.042406
21	15624	0.285769	-0.0195155	0.0601194	-0.042406
22	16368	0.29205	-0.0195155	0.0623555	-0.042406
23	17112	0.295404	-0.0195155	0.0574886	-0.042406
24	17856	0.265545	-0.0195155	0.0592315	-0.042406
25	18600	0.28932	-0.0195155	0.0524903	-0.042406
26	19344	0.284749	-0.0195155	0.053148	-0.042406
27	20088	0.297508	-0.0195155	0.0659398	-0.042406
28	20832	0.293135	-0.0195155	0.0568639	-0.042406
29	21576	0.296653	-0.0195155	0.0602509	-0.042406
30	22320	0.297739	-0.0195155	0.0541345	-0.042406
31	23064	0.268965	-0.0195155	0.052293	-0.042406
32	23808	0.297969	-0.0195155	0.0604811	-0.042406
33	24552	0.290701	-0.0195155	0.0534768	-0.042406
34	25296	0.263178	-0.0195155	0.0449928	-0.042406
35	26040	0.261764	-0.0195155	0.0531151	-0.042406
36	26784	0.28669	-0.0195155	0.0550881	-0.042406
37	27528	0.286624	-0.0195155	0.0469329	-0.042406
38	28272	0.275641	-0.0195155	0.050583	-0.042406
39	29016	0.273832	-0.0195155	0.0495965	-0.042406
40	29760	0.274687	-0.0195155	0.0409809	-0.042406
41	30504	0.278896	-0.0195155	0.0463081	-0.042406
42	31248	0.260152	-0.0195155	0.0462095	-0.042406
43	31992	0.268275	-0.0195155	0.0554498	-0.042406
44	32736	0.249662	-0.0195155	0.041803	-0.042406
45	33480	0.273602	-0.0195155	0.0601522	-0.042406
46	34224	0.269557	-0.0195155	0.0487415	-0.042406
47	34968	0.254266	-0.0195155	0.0413427	-0.042406
48	35712	0.255746	-0.0195155	0.0487744	-0.042406
49	36456	0.277778	-0.0195155	0.0560418	-0.042406
50	37200	0.264559	-0.0195155	0.0498596	-0.042406
51	37944	0.258015	-0.0195155	0.0445653	-0.042406
52	38688	0.25614	-0.0195155	0.0416057	-0.042406
53	39432	0.258015	-0.0195155	0.0429211	-0.042406
54	40176	0.264427	-0.0195155	0.0451572	-0.042406
55	40920	0.276627	-0.0195155	0.0459135	-0.042406
56	41664	0.249794	-0.0195155	0.037857	-0.042406
57	42408	0.264789	-0.0195155	0.0410138	-0.042406
58	43152	0.277482	-0.0195155	0.0503857	-0.042406
59	43896	0.256864	-0.0195155	0.0445653	-0.042406
60	44640	0.245223	-0.0195155	0.0464397	-0.042406
61	45384	0.249268	-0.0195155	0.0494979	-0.042406
62	46128	0.256535	-0.0195155	0.0570283	-0.042406
63	46872	0.263145	-0.0195155	0.0514709	-0.042406
64	47616	0.279784	-0.0195155	0.0480839	-0.042406
65	48360	0.277614	-0.0195155	0.0533124	-0.042406
66	49104	0.260218	-0.0195155	0.0430197	-0.042406
67	49848	0.272648	-0.0195155	0.0441378	-0.042406
68	50592	0.268505	-0.0195155	0.0458149	-0.042406
69	51336	0.26081	-0.0195155	0.0474262	-0.042406
70	52080	0.260251	-0.0195155	0.052852	-0.042406
71	52824	0.252786	-0.0195155	0.0416715	-0.042406
72	53568	0.261599	-0.0195155	0.0456504	-0.042406
73	54312	0.27712	-0.0195155	0.0506159	-0.042406
74	55056	0.268275	-0.0195155	0.0468014	-0.042406
75	55800	0.268209	-0.0195155	0.0427238	-0.042406
76	56544	0.250583	-0.0195155	0.0453874	-0.042406
77	57288	0.249301	-0.0195155	0.0475577	-0.042406
78	58032	0.252425	-0.0195155	0.0499582	-0.042406
79	58776	0.265677	-0.0195155	0.0518326	-0.042406
80	59520	0.254562	-0.0195155	0.0414413	-0.042406
81	60264	0.27518	-0.0195155	0.0587382	-0.042406
82	61008	0.263506	-0.0195155	0.0439076	-0.042406
83	61752	0.2664	-0.0195155	0.0353907	-0.042406
84	62496	0.245026	-0.0195155	0.0458806	-0.042406
85	63240	0.250451	-0.0195155	0.0382187	-0.042406
86	63984	0.239468	-0.0195155	0.037561	-0.042406
87	64728	0.244499	-0.0195155	0.0414742	-0.042406
88	65472	0.263572	-0.0195155	0.0574229	-0.042406
89	66216	0.259001	-0.0195155	0.054825	-0.042406
90	66960	0.248446	-0.0195155	0.0503857	-0.042406
91	67704	0.264592	-0.0195155	0.0425265	-0.042406
92	68448	0.268965	-0.0195155	0.0514709	-0.042406
93	69192	0.266203	-0.0195155	0.0481167	-0.042406
94	69936	0.261501	-0.0195155	0.0487415	-0.042406
95	70680	0.252392	-0.0195155	0.044368	-0.042406
96	71424	0.267157	-0.0195155	0.0451243	-0.042406
97	72168	0.273602	-0.0195155	0.0500569	-0.042406
98	72912	0.265479	-0.0195155	0.049465	-0.042406
99	73656	0.26469	-0.0195155	0.0541016	-0.042406
100	74400	0.276101	-0.0195155	0.0472946	-0.042406
101	75144	0.261994	-0.0195155	0.0541016	-0.042406
